trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
132,False,"{'a': 0.3, 'e': 0.3399999999999994}",25,9,-86.380677106917,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
133,False,"{'a': 0.3, 'e': 0.3349999999999994}",25,18,13.046354263698381,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.3299999999999994}",25,17,-34.62734661751692,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.3, 'e': 0.3249999999999994}",20,0,-0.9561388285013029,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
136,False,"{'a': 0.3, 'e': 0.3199999999999994}",25,2,-30.77856585681776,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.3149999999999994}",20,15,9.799563789044678,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.3099999999999994}",20,8,-1.9281157290932236,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.3049999999999994}",20,3,7.618841377084685,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.3, 'e': 0.2999999999999994}",30,22,2.385090819169288,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.3, 'e': 0.2949999999999994}",25,7,-23.217340168859007,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
142,False,"{'a': 0.3, 'e': 0.28999999999999937}",20,13,13.978795920926014,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.3, 'e': 0.28499999999999936}",20,6,3.6807123178415626,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.27999999999999936}",20,12,13.470011184801,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.27499999999999936}",25,15,-48.372944473807195,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
146,False,"{'a': 0.3, 'e': 0.26999999999999935}",20,16,8.207415560058738,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.3, 'e': 0.26499999999999935}",30,16,-56.28711700232159,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
148,False,"{'a': 0.3, 'e': 0.25999999999999934}",20,0,22.58993567252357,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.3, 'e': 0.25499999999999934}",25,14,-3.497883844626247,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.3, 'e': 0.24999999999999933}",20,16,7.554446303305258,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.3, 'e': 0.24499999999999933}",20,13,13.74882574348856,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.23999999999999932}",20,10,6.522107924110392,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.3, 'e': 0.23499999999999932}",25,12,16.229319961824114,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.3, 'e': 0.22999999999999932}",30,19,17.85927556502097,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.3, 'e': 0.2249999999999993}",25,3,10.203658735053008,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.2199999999999993}",25,12,18.624793497025788,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.2149999999999993}",30,22,-27.365698024335984,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
158,False,"{'a': 0.3, 'e': 0.2099999999999993}",30,18,21.189732064209192,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 0.2049999999999993}",30,20,5.659140493718841,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.1999999999999993}",20,0,27.191044674430188,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.3, 'e': 0.19499999999999929}",25,7,21.111187818838562,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.3, 'e': 0.18999999999999928}",20,16,6.67451330610574,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.18499999999999928}",25,13,10.00545284870271,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
